application_id,company_canonical,role_as_listed,date_applied,exposure_days,days_to_response_strict,days_to_response_broad,days_to_interview,role_lane,ats_system,month
enlace-health|sales-engineer|c1,Enlace Health,Sales Engineer,2026-06-24,66,2,2,,sales_solutions_engineering,Greenhouse,2026-06
minio|bdr-enterprise|c1,MinIO,BDR Enterprise,2026-06-24,66,3,3,,sales_bd_partnerships,none_observed,2026-06
revpartners|gtm-engineer|c1,RevPartners,GTM Engineer,2026-06-24,66,,2,,explicit_gtm_engineering,Teamtailor,2026-06
stackai|sales-engineer|c1,StackAI,Sales Engineer,2026-06-24,66,,,,sales_solutions_engineering,Ashby,2026-06
toast|gtm-engineer-sales-workflow-automation|c1,Toast,"GTM Engineer, Sales Workflow Automation",2026-06-24,66,22,22,,explicit_gtm_engineering,Greenhouse,2026-06
upguard|sdr-manager|c1,UpGuard,SDR Manager,2026-06-24,66,5,0,,sales_bd_partnerships,Lever,2026-06
tekion|senior-manager-inside-sales|c1,Tekion,Senior Manager Inside Sales,2026-06-24,66,3,3,,sales_bd_partnerships,Greenhouse,2026-06
wirescreen|partnerships-manager|c1,WireScreen,Partnerships Manager,2026-06-25,65,8,8,,sales_bd_partnerships,Ashby,2026-06
city-schools-of-decatur|unspecified|c1,City Schools Of Decatur,unspecified,2026-06-26,64,,0,,other,none_observed,2026-06
inrule-technology|unspecified|c1,InRule Technology,unspecified,2026-07-06,54,,,,unspecified,Rippling,2026-07
jobmail-io|growth-lead|c1,jobmail.io,Growth Lead,2026-07-07,53,6,6,6,growth_demand_marketing,none_observed,2026-07
douglas-county-school-system|unspecified|c1,Douglas County School System,unspecified,2026-07-09,51,,,,other,none_observed,2026-07
anysphere|gtm-emerging-products|c1,Anysphere,"GTM, Emerging Products",2026-07-12,48,1,1,,explicit_gtm_engineering,Ashby,2026-07
confido|founding-gtm-engineer|c1,Confido,Founding GTM Engineer,2026-07-12,48,,,,explicit_gtm_engineering,Ashby,2026-07
listen-labs|lead-gtm-engineer|c1,Listen Labs,Lead GTM Engineer,2026-07-12,48,,,,explicit_gtm_engineering,Ashby,2026-07
talentpluto|go-to-market-engineer|c1,Talentpluto,Go-to-Market Engineer,2026-07-12,48,,0,,explicit_gtm_engineering,Workable,2026-07
patch|growth-engineering-lead|c1,Patch,Growth Engineering Lead,2026-07-13,47,,,,growth_demand_marketing,Ashby,2026-07
productboard|associate-gtm-engineer|c1,Productboard,Associate GTM Engineer,2026-07-13,47,,,,explicit_gtm_engineering,Gem,2026-07
together-ai|unspecified|c1,Together AI,unspecified,2026-07-13,47,,,,unspecified,Greenhouse,2026-07
conversion|gtm-engineer|c1,Conversion,GTM Engineer,2026-07-14,46,,,,explicit_gtm_engineering,Ashby,2026-07
attentive|gtm-engineer|c2,Attentive,GTM Engineer,2026-07-15,45,,,,explicit_gtm_engineering,Greenhouse,2026-07
axiad|unspecified|c1,Axiad,unspecified,2026-07-15,45,,,,unspecified,Greenhouse,2026-07
brighthire|unspecified|c1,BrightHire,unspecified,2026-07-15,45,,,,unspecified,Greenhouse,2026-07
gatherup|unspecified|c1,GatherUp,unspecified,2026-07-15,45,,,,unspecified,Greenhouse,2026-07
handshake|gtm-engineer|c1,Handshake,GTM Engineer,2026-07-15,45,,,,explicit_gtm_engineering,Ashby,2026-07
higgsfield|gtm-engineer|c1,Higgsfield,GTM Engineer,2026-07-15,45,,,,explicit_gtm_engineering,Ashby,2026-07
hightouch|go-to-market-engineer|c1,Hightouch,Go-to-Market Engineer,2026-07-15,45,9,9,,explicit_gtm_engineering,Greenhouse,2026-07
hologram|gtm-engineer-pre-sales|c1,Hologram,GTM Engineer Pre-Sales,2026-07-15,45,5,0,5,explicit_gtm_engineering,Greenhouse,2026-07
hud|gtm-engineer|c1,HUD,GTM Engineer,2026-07-15,45,1,1,,explicit_gtm_engineering,Ashby,2026-07
lorikeet|gtm-engineer|c1,Lorikeet,GTM Engineer,2026-07-15,45,5,5,,explicit_gtm_engineering,Ashby,2026-07
nooks|gtm-engineer-marketing|c1,Nooks,"GTM Engineer, Marketing",2026-07-15,45,,,,explicit_gtm_engineering,Ashby,2026-07
scribe|unspecified|c1,Scribe,unspecified,2026-07-15,45,,,,unspecified,Ashby,2026-07
yuno|go-to-market-engineer|c1,Yuno,Go To Market Engineer,2026-07-15,45,,,,explicit_gtm_engineering,Lever,2026-07
great-question|senior-demand-generation-manager|c1,Great Question,Senior Demand Generation Manager,2026-07-17,43,7,7,7,growth_demand_marketing,Ashby,2026-07
clutch|gtm-engineer|c1,Clutch,GTM Engineer,2026-07-19,41,,3,,explicit_gtm_engineering,Ashby,2026-07
livekit|gtm-systems-engineer|c1,LiveKit,GTM Systems Engineer,2026-07-20,40,28,28,,explicit_gtm_engineering,Ashby,2026-07
mercor|biology-biophysics-research-collaborator|c1,Mercor,Biology & Biophysics Research Collaborator,2026-07-20,40,7,0,,product_ai_technical,none_observed,2026-07
revic|founding-gtm-ai-engineer|c1,Revic,Founding GTM AI Engineer,2026-07-21,39,,,,explicit_gtm_engineering,none_observed,2026-07
owner-com|gtm-engineer|c1,Owner.com,GTM Engineer,2026-07-22,38,,,,explicit_gtm_engineering,Ashby,2026-07
firstup|manager-gtm-systems|c1,Firstup,"Manager, GTM Systems",2026-07-23,37,,,,explicit_gtm_engineering,Lever,2026-07
ai-digital|growth-director|c1,AI Digital,Growth Director,2026-07-24,36,3,3,,growth_demand_marketing,none_observed,2026-07
lattice|gtm-engineer|c1,Lattice,GTM Engineer,2026-07-24,36,11,11,,explicit_gtm_engineering,Greenhouse,2026-07
tripleseat|gtm-engineer|c1,Tripleseat,GTM Engineer,2026-08-06,23,,,,explicit_gtm_engineering,none_observed,2026-08
mercor|b2b-sales-expert|c1,Mercor,B2B Sales Expert,2026-08-18,11,7,7,,sales_bd_partnerships,none_observed,2026-08
mercor|sales-and-marketing-expert|c1,Mercor,Sales and Marketing Expert,2026-08-18,11,,,,growth_demand_marketing,none_observed,2026-08
mercor|sales-engineering-expert|c1,Mercor,Sales Engineering Expert,2026-08-18,11,7,7,,sales_solutions_engineering,none_observed,2026-08
uncapped|gtm-engineer|c1,Uncapped,GTM Engineer,2026-08-22,7,0,0,,explicit_gtm_engineering,Workable,2026-08
