company,role,applied_date,date_precision,outcome,outcome_date,channel,evidence_tier,stratum,source
Apollo.io,unspecified,2026-05-28,exact,no_response,,greenhouse,A,gmail/ATS,logs 008
Kognitos,Senior Solutions Engineer,2026-06-03,exact,unknown,,linkedin_easy_apply,A,LinkedIn,LI-050 · net_new
Valoh,Fractional GTM Operations Lead,2026-06-03,exact,unknown,,linkedin_easy_apply,A,LinkedIn,LI-049 · net_new
4MindsAI,GTM Engineer,2026-06-04,exact,no_response,,unknown,A,gmail/ATS,logs 008
Adaptive6,Sales Engineer,2026-06-04,exact,rejected_no_interview,2026-06-16,comeet,A,gmail/ATS,logs 008;013
Cloudflare,GTM Engineer,2026-06-04,exact,rejected_no_interview,2026-06-23,email_direct,A,gmail/ATS,logs 008;013
Evolution USA,Forward Deployed Engineer (FDE) - Applied AI / GenAI,2026-06-04,exact,unknown,,linkedin_easy_apply,A,LinkedIn,LI-060 · net_new
GridBank,GTM Engineer,2026-06-04,exact,unknown,,linkedin_easy_apply,A,LinkedIn,LI-061 · net_new
Huzzle,GTM Engineer,2026-06-04,exact,assessment_sent,2026-06-16,workable,A,gmail/ATS,logs 008;013
IntelliPro,Founding Sales - AI Generic,2026-06-04,exact,unknown,,linkedin_easy_apply,A,LinkedIn,LI-053 · net_new
Jobright.ai,AI Engineer,2026-06-04,exact,unknown,,linkedin_easy_apply,A,LinkedIn,LI-058 · net_new
Lyra Health,Senior GTM Enablement Specialist,2026-06-04,exact,unknown,,linkedin_easy_apply,A,LinkedIn,LI-056 · net_new
MAJC,Revenue Operations & Business Development,2026-06-04,exact,unknown,,linkedin_easy_apply,A,LinkedIn,LI-051 · net_new
Pogo Technologies,GTM Engineer,2026-06-04,exact,no_response,,gem,A,gmail/ATS,logs 008;012
RevSpring,"Lead, Agentic Operations + GTM Engineering",2026-06-04,exact,rejected_no_interview,2026-06-25,newton,A,gmail/ATS,"logs 008;013;021 · Q3b: recruiter screen requested 2026-06-10, 'one last try' 06-15, no candidate reply"
Scout Global,Forward Deployed Engineer,2026-06-04,exact,unknown,,linkedin_easy_apply,A,LinkedIn,LI-059 · net_new
The Hog (YC F25),Founding GTM Engineer,2026-06-04,exact,unknown,,linkedin_easy_apply,A,LinkedIn,LI-054 · net_new_employer_artifact_exists
Vi,Sr. Forward Deployed Engineer,2026-06-04,exact,unknown,,linkedin_easy_apply,A,LinkedIn,LI-057 · net_new
SOLAYA,GTM Engineer,2026-06-07,exact,unknown,,linkedin_easy_apply,A,LinkedIn,LI-062 · net_new
Greenway Collins,GTM Engineer | Remote (US),2026-06-08,exact,unknown,,linkedin_easy_apply,A,LinkedIn,LI-063 · net_new
RTScale AI,Founding Growth Lead,2026-06-17,exact,unknown,,linkedin_easy_apply,A,LinkedIn,LI-064 · net_new
Atlanta Public Schools,unspecified,2026-06-19,exact,role_paused_or_closed,2026-06-22,applitrack,A,gmail/ATS,logs 013;016;020
Anduril Industries,"Technical Operations Engineer, Launched Effects",2026-06-21,exact,rejected_no_interview,2026-07-15,email_direct,A,gmail/ATS,logs 011;013
DripShop,Growth Lead - User Acquisition,2026-06-21,exact,unknown,,linkedin_easy_apply,A,LinkedIn,LI-068 · net_new
Durham Geo Slope Indicator (DGSI),Technical Sales Engineer,2026-06-21,exact,unknown,,linkedin_easy_apply,A,LinkedIn,LI-066 · net_new
The Vincit Group,Systems Engineering and Sales,2026-06-21,exact,unknown,,linkedin_easy_apply,A,LinkedIn,LI-065 · net_new
TrueBuilt,GTM Engineer,2026-06-21,exact,unknown,,linkedin_easy_apply,A,LinkedIn,LI-067 · net_new
Armada,"AI Factory, Value Engineer",2026-06-22,exact,no_response,,greenhouse,A,gmail/ATS,logs 013
Attentive,GTM Engineer,2026-06-22,exact,rejected_no_interview,2026-07-07,greenhouse,A,gmail/ATS,logs 012;013
Franklin Fitch,AI Training and Adoption Consultant,2026-06-22,exact,unknown,,linkedin_easy_apply,A,LinkedIn,LI-071 · net_new
Hartfiel Automation,Sales Engineer,2026-06-22,exact,unknown,,linkedin_easy_apply,A,LinkedIn,LI-070 · net_new
HorizonAI Talent,Forward Deployed Engineer,2026-06-22,exact,unknown,,linkedin_easy_apply,A,LinkedIn,LI-072 · net_new
IBM,"Manager, Applied AI & GTM Systems",2026-06-22,exact,rejected_no_interview,2026-07-26,email_direct,A,gmail/ATS,logs 010;013
Jobgether,GTM Engineer,2026-06-22,exact,unknown,2026-06-23,unknown,B,gmail/ATS,logs 013
Mercor,Education / school Evaluator,2026-06-22,exact,rejected_no_interview,2026-06-29,mercor,A,gmail/ATS,logs 012;013
Mercor,General Sales / GTM Evaluator,2026-06-22,exact,rejected_no_interview,2026-06-29,mercor,A,gmail/ATS,logs 012;013
Pindrop,unspecified,2026-06-22,exact,no_response,,greenhouse,A,gmail/ATS,logs 013
Ritz Instrument Transformers USA,Sales Engineer,2026-06-22,exact,unknown,,linkedin_easy_apply,A,LinkedIn,LI-069 · net_new
Roc Search,Founding GTM Strategy,2026-06-22,exact,unknown,,linkedin_easy_apply,A,LinkedIn,LI-076 · net_new
SentiLink,Go-to-Market Strategy Analyst,2026-06-22,exact,rejected_no_interview,2026-07-13,ashby,A,gmail/ATS,logs 012;013
Syncro,GTM Operations Manager,2026-06-22,exact,no_response,,email_direct,A,gmail/ATS,logs 013
Wealth.com,GTM Engineer,2026-06-22,exact,rejected_no_interview,2026-06-22,ashby,A,gmail/ATS,logs 013
Automation Anywhere,Sales Engineer,2026-06-24,exact,no_response,,workday,A,gmail/ATS,logs 013
Canals,Sales Manager,2026-06-24,exact,no_response,,ashby,A,gmail/ATS,logs 013
Clay,"Growth Strategist, Enterprise",2026-06-24,exact,rejected_no_interview,2026-06-25,ashby,A,gmail/ATS,logs 012
Enlace Health,Sales Engineer,2026-06-24,exact,rejected_no_interview,2026-06-26,greenhouse,A,gmail/ATS,logs 012;013
Hippocratic AI,Deployment Strategist,2026-06-24,exact,unknown,,linkedin_easy_apply,A,LinkedIn,LI-079 · net_new
Melavex,Founding GTM Lead,2026-06-24,exact,unknown,,linkedin_easy_apply,A,LinkedIn,LI-077 · net_new
MinIO,BDR Enterprise,2026-06-24,exact,rejected_no_interview,2026-06-27,email_direct,A,gmail/ATS,logs 012
RevPartners,GTM Engineer,2026-06-24,evidence_bound,rejected_no_interview,2026-07-27,teamtailor,B,gmail/ATS,logs 010;011;012;013
Robert Half,Go-To-Market Lead,2026-06-24,exact,unknown,,linkedin_easy_apply,A,LinkedIn,LI-078 · net_new
StackAI,Sales Engineer,2026-06-24,exact,no_response,,ashby,A,gmail/ATS,logs 013
Tekion,"Senior Manager, Inside Sales",2026-06-24,exact,rejected_no_interview,2026-06-27,greenhouse,A,gmail/ATS,logs 012;013
Toast,"GTM Engineer, Sales Workflow Automation",2026-06-24,exact,rejected_no_interview,2026-07-16,greenhouse,A,gmail/ATS,logs 011;013
UpGuard,SDR Manager,2026-06-24,exact,rejected_no_interview,2026-06-29,lever,A,gmail/ATS,logs 012
Hermetic AI,"Sales Development Representative - Atlanta, GA",2026-06-25,exact,unknown,,linkedin_easy_apply,A,LinkedIn,LI-080 · net_new
WireScreen,Partnerships Manager,2026-06-25,exact,rejected_no_interview,2026-07-03,ashby,A,gmail/ATS,logs 012
City Schools of Decatur,unspecified,2026-06-26,exact,no_response,,applitrack,A,gmail/ATS,logs 012;015
Trase,"GTM Engineer, Healthcare",2026-06-26,exact,rejected_no_interview,2026-07-10,greenhouse,A,gmail/ATS,logs 012
Company.ai,GTM Sales Lead,2026-07-06,exact,unknown,,linkedin_easy_apply,A,LinkedIn,LI-083 · net_new
InRule Technology,unspecified,2026-07-06,exact,no_response,,rippling,A,gmail/ATS,logs 012
Inworld AI,GTM Lead,2026-07-06,exact,unknown,,linkedin_easy_apply,A,LinkedIn,LI-082 · net_new
TechLinkSphere,Micro-SaaS Launch & Growth Engineer,2026-07-06,exact,unknown,,linkedin_easy_apply,A,LinkedIn,LI-081 · net_new
Duckbill,Founding Sales / GTM,2026-07-07,exact,unknown,,linkedin_easy_apply,A,LinkedIn,LI-084 · net_new
jobmail.io,Growth Lead,2026-07-07,exact,rejected_after_interview,2026-07-13,unknown,B,gmail/ATS,logs 012;015;018
Pogo Technologies,GTM Engineer,2026-07-08,exact,no_response,,ashby,A,gmail/ATS,logs 012
Douglas County School System,unspecified,2026-07-09,exact,no_response,,applitrack,A,gmail/ATS,logs 012;015
Baton AI,Founding GTM,2026-07-12,exact,unknown,,linkedin_easy_apply,A,LinkedIn,LI-101 · net_new
Confido,Founding GTM Engineer,2026-07-12,exact,no_response,,ashby,A,gmail/ATS,logs 012
Coverwatch,Founding GTM,2026-07-12,exact,unknown,,linkedin_easy_apply,A,LinkedIn,LI-099 · net_new
Cursor,"GTM, Emerging Products",2026-07-12,exact,rejected_no_interview,2026-07-13,ashby,A,gmail/ATS,logs 012
Entelligence.AI,Founding GTM,2026-07-12,exact,unknown,,linkedin_easy_apply,A,LinkedIn,LI-085 · net_new
Human Delta,Founding GTM Engineer,2026-07-12,exact,unknown,,linkedin_easy_apply,A,LinkedIn,LI-087 · net_new
Kana,GTM Engineer,2026-07-12,exact,unknown,,linkedin_easy_apply,A,LinkedIn,LI-098 · net_new
Light Labs,"GTM Engineer, Agents",2026-07-12,exact,unknown,,linkedin_easy_apply,A,LinkedIn,LI-095 · net_new
Listen Labs,Lead GTM Engineer,2026-07-12,exact,no_response,,ashby,A,gmail/ATS,logs 012
Logicbroker,AI GTM Engineer,2026-07-12,exact,unknown,,linkedin_easy_apply,A,LinkedIn,LI-091 · net_new
Massive,GTM,2026-07-12,exact,unknown,,linkedin_easy_apply,A,LinkedIn,LI-100 · net_new
Method Recruiting,Founding GTM Engineer,2026-07-12,exact,unknown,,linkedin_easy_apply,A,LinkedIn,LI-092 · net_new
Nudge AI,Growth Lead,2026-07-12,exact,unknown,,linkedin_easy_apply,A,LinkedIn,LI-086 · net_new
Sidepocket,Go-To-Market Growth Engineer,2026-07-12,exact,unknown,,linkedin_easy_apply,A,LinkedIn,LI-090 · net_new
Stealth Startup,GTM Leader / Head of Growth,2026-07-12,exact,unknown,,linkedin_easy_apply,A,LinkedIn,LI-096 · net_new
talentpluto,Go-to-Market Engineer,2026-07-12,exact,unknown,2026-07-22,workable,A,gmail/ATS,logs 011;012
talentpluto,GTM Engineer,2026-07-12,exact,unknown,2026-07-22,workable,A,gmail/ATS,logs 011;012
Taste Labs,Growth Lead,2026-07-12,exact,unknown,,linkedin_easy_apply,A,LinkedIn,LI-093 · net_new
The Biological Computing Co. (TBC),Lead Sales and Product Engineer,2026-07-12,exact,unknown,,linkedin_easy_apply,A,LinkedIn,LI-088 · net_new
Patch,Growth Engineering Lead,2026-07-13,exact,no_response,,ashby,A,gmail/ATS,logs 012
Productboard,Associate GTM Engineer,2026-07-13,exact,no_response,,gem,A,gmail/ATS,logs 011;012
Together AI,unspecified,2026-07-13,exact,no_response,,greenhouse,A,gmail/ATS,logs 011;012
Conversion,GTM Engineer,2026-07-14,exact,no_response,,ashby,A,gmail/ATS,logs 011
Attentive,GTM Engineer,2026-07-15,exact,no_response,,greenhouse,A,gmail/ATS,logs 011
Axiad,unspecified,2026-07-15,exact,no_response,,greenhouse,A,gmail/ATS,logs 011
BrightHire,unspecified,2026-07-15,exact,no_response,,greenhouse,A,gmail/ATS,logs 011
GatherUp,unspecified,2026-07-15,exact,no_response,,greenhouse,A,gmail/ATS,logs 011
Handshake,GTM Engineer,2026-07-15,exact,no_response,,ashby,A,gmail/ATS,logs 011
Higgsfield,GTM Engineer,2026-07-15,exact,no_response,,ashby,A,gmail/ATS,logs 011
Hightouch,Go-to-Market Engineer,2026-07-15,exact,rejected_no_interview,2026-07-24,greenhouse,A,gmail/ATS,logs 010;011
Hologram,GTM Engineer Pre-Sales,2026-07-15,exact,interview_scheduled,2026-07-22,greenhouse,A,gmail/ATS,logs 010;011;020
HUD,GTM Engineer,2026-07-15,exact,rejected_no_interview,2026-07-16,ashby,A,gmail/ATS,logs 011
Lorikeet,GTM Engineer,2026-07-15,exact,role_paused_or_closed,2026-07-20,ashby,A,gmail/ATS,logs 011
Nooks,"GTM Engineer, Marketing",2026-07-15,exact,no_response,,ashby,A,gmail/ATS,logs 011
Scribe,unspecified,2026-07-15,exact,no_response,,ashby,A,gmail/ATS,logs 011
Yuno,Go To Market Engineer,2026-07-15,exact,no_response,,lever,A,gmail/ATS,logs 011
Great Question,Senior Demand Generation Manager,2026-07-17,exact,rejected_after_interview,2026-07-29,ashby,A,gmail/ATS,logs 010;011
Elios AI,Senior Forward Deployed Engineer,2026-07-18,exact,unknown,,linkedin_easy_apply,A,LinkedIn,LI-102 · net_new
Clutch,GTM Engineer,2026-07-19,exact,unknown,2026-07-22,ashby,A,gmail/ATS,logs 011
Cincinnatus,Biology & Biophysics Research Collaborator,2026-07-20,exact,rejected_no_interview,2026-07-27,mercor,A,gmail/ATS,logs 010;011;015
LiveKit,GTM Systems Engineer,2026-07-20,exact,rejected_no_interview,2026-08-17,ashby,A,gmail/ATS,logs 010;011
Revic,Founding GTM AI Engineer,2026-07-21,exact,no_response,,ziprecruiter,A,gmail/ATS,logs 011;014;015
Ailytics,Revenue Operations (RevOps) Specialist,2026-07-22,exact,unknown,,linkedin_easy_apply,A,LinkedIn,LI-103 · net_new
Owner.com,GTM Engineer,2026-07-22,exact,no_response,,ashby,A,gmail/ATS,logs 011
Firstup,"Manager, GTM Systems",2026-07-23,exact,no_response,,apply4me,A,gmail/ATS,logs 010;015
