application_id,company_canonical,coded_discovery_source,recovery_tier,recovered_source,evidence_class
livekit|gtm-systems-engineer|c1,LiveKit,unknown,unrecoverable,,employer_artifact
lorikeet|gtm-engineer|c1,Lorikeet,unknown,unrecoverable,,employer_artifact
lumenalta|unspecified|c1,Lumenalta,unknown,unrecoverable,,employer_artifact
medialab-ai|unspecified|c1,MediaLab.AI,unknown,unrecoverable,,employer_artifact
mento|gtm-engineer|c1,Mento,unknown,unrecoverable,,employer_artifact
mercor|b2b-sales-expert|c1,Mercor,unknown,unrecoverable,,employer_artifact
mercor|biology-biophysics-research-collaborator|c1,Mercor,referral,captured_at_write_time,referral,employer_artifact
mercor|education-school-evaluator|c1,Mercor,unknown,unrecoverable,,employer_artifact
mercor|general-sales-gtm-evaluator|c1,Mercor,unknown,unrecoverable,,employer_artifact
mercor|sales-and-marketing-expert|c1,Mercor,unknown,unrecoverable,,employer_artifact
mercor|sales-engineering-expert|c1,Mercor,unknown,unrecoverable,,employer_artifact
minio|bdr-enterprise|c1,MinIO,unknown,recoverable_from_platform_export,jobright,employer_artifact
nebius|director-gtm-physical-ai|c1,Nebius,unknown,recoverable_from_platform_export,jobright,employer_artifact
nero|founding-engineer|c1,Nero,unknown,unrecoverable,,employer_artifact
nice|ai-solution-strategist|c1,NICE,unknown,recoverable_from_platform_export,jobright,employer_artifact
nooks|gtm-engineer-marketing|c1,Nooks,unknown,unrecoverable,,employer_artifact
onboard|unspecified|c1,OnBoard,unknown,unrecoverable,,employer_artifact
onit|sales-engineer|c1,Onit,unknown,recoverable_from_platform_export,jobright,employer_artifact
ontra|unspecified|c1,Ontra,unknown,unrecoverable,,employer_artifact
openobserve|growth-marketer|c1,OpenObserve,unknown,recoverable_from_platform_export,jobright,employer_artifact
orchestry|gtm-engineer-sales|c1,Orchestry,unknown,unrecoverable,,employer_artifact
owner-com|gtm-engineer|c1,Owner.com,unknown,recoverable_from_platform_export,linkedin,employer_artifact
oxos-medical|gtm-engineer|c1,OXOS Medical,unknown,unrecoverable,,employer_artifact
pandadoc|gtm-engineer|c1,PandaDoc,unknown,recoverable_from_platform_export,linkedin,employer_artifact
patch|growth-engineering-lead|c1,Patch,unknown,unrecoverable,,employer_artifact
payabli|gtm-engineer|c1,Payabli,unknown,unrecoverable,,employer_artifact
pearl|lead-gtm-engineer|c1,Pearl,unknown,unrecoverable,,employer_artifact
phiture|us-growth-lead-mobile-marketing-strategist|c1,Phiture,unknown,unrecoverable,,employer_artifact
phrasiq|unspecified|c1,PhrasIQ,wellfound,captured_at_write_time,wellfound,employer_artifact
pindrop|gtm-systems-platform-specialist|c1,Pindrop,unknown,recoverable_from_platform_export,jobright,employer_artifact
pinterest|apprentice-engineer|c1,Pinterest,referral,captured_at_write_time,referral,employer_artifact
pogo-technologies|gtm-engineer|c1,Pogo Technologies,unknown,unrecoverable,,employer_artifact
practical-prospecting|unspecified|c1,Practical Prospecting,unknown,unrecoverable,,employer_artifact
primer|unspecified|c1,Primer,unknown,recoverable_from_platform_export,jobright,employer_artifact
productboard|associate-gtm-engineer|c1,Productboard,unknown,unrecoverable,,employer_artifact
proofpoint|unspecified|c1,Proofpoint,unknown,unrecoverable,,employer_artifact
proteantecs|sdr|c1,proteanTecs,unknown,recoverable_from_platform_export,linkedin,employer_artifact
redis|gtm-engineer|c1,Redis,unknown,unrecoverable,,employer_artifact
replit|sales-engineer|c1,Replit,unknown,recoverable_from_platform_export,jobright,employer_artifact
revic|founding-gtm-ai-engineer|c1,Revic,unknown,unrecoverable,,employer_artifact
revpartners|gtm-engineer|c1,RevPartners,unknown,unrecoverable,,employer_artifact
revspring|lead-agentic-operations-gtm-engineering|c1,RevSpring,recruiter_inbound,captured_at_write_time,recruiter_inbound,employer_artifact
roboflow|revops-gtm-engineer|c1,Roboflow,unknown,unrecoverable,,employer_artifact
rollstack|ai-growth-hacker|c1,Rollstack,unknown,unrecoverable,,employer_artifact
rula|gtm-engineer-remote|c1,Rula,unknown,unrecoverable,,employer_artifact
runway|go-to-market-ai-engineer|c1,Runway,unknown,unrecoverable,,employer_artifact
sage|director-of-growth-small|c1,Sage,unknown,unrecoverable,,employer_artifact
sailpoint|account-exec-enterprise-accounts|c1,SailPoint,unknown,unrecoverable,,employer_artifact
sardine|gtm-engineer|c1,Sardine,unknown,unrecoverable,,employer_artifact
scaleops|sales-engineer-usa|c1,ScaleOps,unknown,unrecoverable,,employer_artifact
scribe|unspecified|c1,Scribe,unknown,unrecoverable,,employer_artifact
seamless-ai|sdr-remote-us|c1,Seamless.AI,unknown,unrecoverable,,employer_artifact
sentilink|go-to-market-strategy-analyst|c1,SentiLink,unknown,recoverable_from_platform_export,linkedin,employer_artifact
servicetrade|unspecified|c1,ServiceTrade,unknown,recoverable_from_platform_export,jobright,employer_artifact
shaped|founding-sdr|c1,Shaped,unknown,unrecoverable,,employer_artifact
slingshot-ai|conversation-designer|c1,Slingshot AI,unknown,unrecoverable,,employer_artifact
smeetz|gtm-engineer|c1,Smeetz,unknown,unrecoverable,,employer_artifact
solv-health|unspecified|c1,Solv Health,unknown,unrecoverable,,employer_artifact
speechify|go-to-market-engineer-atlanta|c1,Speechify,unknown,unrecoverable,,employer_artifact
spider-cloud|growth-lead|c1,Spider.cloud,unknown,unrecoverable,,employer_artifact
stackai|sales-engineer|c1,StackAI,unknown,recoverable_from_platform_export,jobright,employer_artifact
stedi|unspecified|c1,Stedi,unknown,recoverable_from_platform_export,jobright,employer_artifact
sur|ai-revenue-engineer|c1,Sur,unknown,unrecoverable,,employer_artifact
switchyards|launch-manager|c1,Switchyards,unknown,unrecoverable,,employer_artifact
syncro|gtm-operations-manager|c1,Syncro,unknown,unrecoverable,,employer_artifact
talentpluto|go-to-market-engineer|c1,Talentpluto,unknown,recoverable_from_platform_export,linkedin,employer_artifact
tapcheck|unspecified|c1,Tapcheck,unknown,unrecoverable,,employer_artifact
teleport|gtm-engineer|c1,Teleport,unknown,unrecoverable,,employer_artifact
telnyx|unspecified|c1,Telnyx,unknown,recoverable_from_platform_export,jobright,employer_artifact
testgorilla|go-to-market-engineer|c1,TestGorilla,unknown,unrecoverable,,employer_artifact
thomson-reuters|ae-tax-or-risk|c1,Thomson Reuters,unknown,recoverable_from_platform_export,jobright,employer_artifact
tiger-data|gtm-ai-engineer|c1,Tiger Data,unknown,unrecoverable,,employer_artifact
toast|gtm-engineer-sales-workflow-automation|c1,Toast,unknown,unrecoverable,,employer_artifact
together-ai|unspecified|c1,Together AI,unknown,unrecoverable,,employer_artifact
trace3|sdr|c1,Trace3,unknown,unrecoverable,,employer_artifact
tractian|sales-engineer-automation|c1,TRACTIAN,unknown,recoverable_from_platform_export,jobright,employer_artifact
tractian|senior-gtm-engineer-hubspot|c1,TRACTIAN,unknown,unrecoverable,,employer_artifact
trase|gtm-engineer-healthcare|c1,Trase,unknown,recoverable_from_platform_export,jobright,employer_artifact
tripleseat|gtm-engineer|c1,Tripleseat,unknown,unrecoverable,,employer_artifact
uncapped|gtm-engineer|c1,Uncapped,unknown,recoverable_from_platform_export,linkedin,employer_artifact
unframe|gtm-engineer|c1,Unframe,unknown,recoverable_from_platform_export,jobright,employer_artifact
unstructured|gtm-engineer-operations|c1,Unstructured,unknown,unrecoverable,,employer_artifact
upguard|sdr-manager|c1,UpGuard,unknown,recoverable_from_platform_export,jobright,employer_artifact
vercel|gtm-engineer|c1,Vercel,unknown,unrecoverable,,employer_artifact
verkada|enterprise-solutions-engineer-atlanta|c1,Verkada,unknown,recoverable_from_platform_export,linkedin,employer_artifact
virtru|director-of-go-to-market-ai|c1,Virtru,unknown,unrecoverable,,employer_artifact
vitalsource|ai-enablement-lead|c1,VitalSource,unknown,recoverable_from_platform_export,jobright,employer_artifact
volley|unspecified|c1,Volley,unknown,recoverable_from_platform_export,jobright,employer_artifact
vonage|sdr-api-cpaas|c1,Vonage,unknown,unrecoverable,,employer_artifact
wallstreetquants|unspecified|c1,WallStreetQuants,unknown,recoverable_from_platform_export,linkedin,employer_artifact
wealth-com|gtm-engineer|c1,Wealth.com,unknown,unrecoverable,,employer_artifact
weave|business-development-manager|c1,Weave,unknown,unrecoverable,,employer_artifact
wilsonhcg|outbound-sales-consultant-iii|c1,WilsonHCG,unknown,unrecoverable,,employer_artifact
wirescreen|partnerships-manager|c1,WireScreen,unknown,recoverable_from_platform_export,jobright,employer_artifact
wrapbook|gtm-systems-engineer|c1,Wrapbook,unknown,unrecoverable,,employer_artifact
yuno|go-to-market-engineer|c1,Yuno,unknown,unrecoverable,,employer_artifact
anduril-industries|technical-operations-engineer-launched-effects|c1,Anduril Industries,unknown,recoverable_from_platform_export,linkedin,employer_artifact
attentive|gtm-engineer|c1,Attentive,unknown,recoverable_from_platform_export,linkedin,employer_artifact
hartleyco|founding-gtm|c1,HartleyCo,recruiter_inbound,captured_at_write_time,recruiter_inbound,employer_artifact
exa|growth-lead|c1,Exa,unknown,unrecoverable,,employer_artifact
ibm|manager-applied-ai-gtm-systems|c1,IBM,unknown,unrecoverable,,employer_artifact
manifold-ai|growth-marketing-manager|c1,Manifold AI,unknown,unrecoverable,,employer_artifact
tekion|senior-manager-inside-sales|c1,Tekion,unknown,recoverable_from_platform_export,jobright,employer_artifact
valsoft|gtm-engineer-dockmaster|c1,Valsoft,unknown,unrecoverable,,employer_artifact
agroknow|north-america-sales|c1,Agroknow,unknown,unrecoverable,,employer_artifact
classet|head-of-gtm|c1,Classet,wellfound,captured_at_write_time,wellfound,employer_artifact
jobmail-io|growth-lead|c1,jobmail.io,unknown,unrecoverable,,employer_artifact
stellar-substitute|unspecified|c1,Stellar Substitute,unknown,unrecoverable,,employer_artifact
switchyards|digital-product-builder|c1,Switchyards,unknown,unrecoverable,,employer_artifact
glean|gtm-engineer-marketing|c1,Glean,unknown,unrecoverable,,employer_artifact
jobright-ai|product-manager-early-career|c1,Jobright.ai,jobright,captured_at_write_time,jobright,platform_log
the-hog|gtm-engineer|c1,The Hog,unknown,unrecoverable,,employer_artifact
bx-studio|unspecified|c1,BX Studio,unknown,recoverable_from_platform_export,linkedin,employer_artifact
