company_normalized,in_workbook,in_repository_full_census,workbook_rows,workbook_categories,repository_register,repository_evidence_class,verdict
unknownvivibrownsandiegotechnologystartup,yes,no,1,LinkedIn recruiter/person outreach,,,workbook_only_opportunity
unstructured,yes,yes,1,Direct application / ATS,application,employer_artifact,both
upguard,yes,yes,1,Jobright.ai application,application,employer_artifact,both
valoh,yes,yes,1,LinkedIn application,application,platform_log,both
valsoft,yes,yes,1,Direct application / ATS,application,employer_artifact,both
vanco,yes,yes,1,Jobright.ai application,application,platform_log,both
vercel,yes,yes,1,Direct application / ATS,application,employer_artifact,both
verdent,yes,yes,1,LinkedIn application,application,platform_log,both
verkada,yes,yes,1,LinkedIn application,application,employer_artifact,both
vi,yes,yes,1,LinkedIn application,application,platform_log,both
virtru,yes,yes,1,LinkedIn recruiter/person outreach,application,employer_artifact,both
vitalsource,yes,yes,1,Jobright.ai application,application,employer_artifact,both
volley,yes,yes,1,Jobright.ai application,application,employer_artifact,both
vonage,yes,yes,1,Direct application / ATS,application,employer_artifact,both
wallstreetquants,yes,yes,1,LinkedIn application,application,employer_artifact,both
wealth,yes,yes,1,Direct application / ATS,application,employer_artifact,both
weave,yes,yes,2,Direct application / ATS; Recruiter outbound / intermediary,application,employer_artifact,both
wilsonhcg,no,yes,0,,application,employer_artifact,repository_only
wirescreen,yes,yes,1,Jobright.ai application,application,employer_artifact,both
workos,yes,no,1,LinkedIn recruiter/person outreach,,,workbook_only_opportunity
wrapbook,yes,yes,1,Direct application / ATS,application,employer_artifact,both
yuno,yes,yes,1,Direct application / ATS,application,employer_artifact,both
